# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-M" "-g" "gene_id" "-a" "./genomic.gtf" "-o" "counts3.txt" "37D1_control1_sorted.bam" "37D2_control2_sorted.bam" "37D3_control3_sorted.bam" "46D1_elevtemp_sorted.bam" "46D2_elevtemp2_sorted.bam" "46D3_elevtemp3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	37D1_control1_sorted.bam	37D2_control2_sorted.bam	37D3_control3_sorted.bam	46D1_elevtemp_sorted.bam	46D2_elevtemp2_sorted.bam	46D3_elevtemp3_sorted.bam
PA0001	NC_002516.2	483	2027	+	1545	12	10	14	16	10	30
PA0002	NC_002516.2	2056	3159	+	1104	6	12	7	9	8	8
PA0003	NC_002516.2	3169	4278	+	1110	13	16	7	15	16	35
PA0004	NC_002516.2	4275	6695	+	2421	50	34	28	54	41	54
PA0005	NC_002516.2	7018	7791	-	774	0	0	0	0	2	0
PA0006	NC_002516.2	7803	8339	-	537	4	2	0	0	10	2
PA0007	NC_002516.2	8671	10377	+	1707	6	0	0	2	1	0
PA0008	NC_002516.2	10434	12488	-	2055	0	2	2	0	10	2
PA0009	NC_002516.2	12488	13435	-	948	2	2	2	3	0	6
PA0010	NC_002516.2	13540	14091	+	552	10	2	2	2	8	4
PA0011	NC_002516.2	14235	15122	+	888	18	8	4	2	10	6
PA0012	NC_002516.2	15207	15473	+	267	4	2	4	2	6	18
PA0013	NC_002516.2	15620	16273	+	654	0	0	0	0	0	0
PA0014	NC_002516.2	16335	16607	-	273	0	0	0	0	0	0
PA0015	NC_002516.2	16900	17217	-	318	3	0	4	1	0	0
PA0016	NC_002516.2	17366	18739	-	1374	2	2	4	5	9	8
PA0017	NC_002516.2	18767	20071	-	1305	0	0	4	0	1	6
PA0018	NC_002516.2	20068	21012	-	945	4	2	0	4	3	6
PA0019	NC_002516.2	21067	21573	-	507	24	2	14	0	8	20
PA0020	NC_002516.2	21712	22737	+	1026	16	8	2	4	5	10
PA0021	NC_002516.2	22872	23960	+	1089	0	0	0	0	0	0
PA0022	NC_002516.2	24001	24558	+	558	0	0	0	0	2	0
PA0023	NC_002516.2	24568	25545	-	978	2	0	0	2	2	2
PA0024	NC_002516.2	25736	26653	+	918	15	14	10	12	16	12
PA0025	NC_002516.2	26711	27535	+	825	1	2	2	0	0	3
PA0026	NC_002516.2	27646	28632	+	987	2	0	6	2	4	1
PA0027	NC_002516.2	28613	29899	+	1287	0	0	0	0	0	0
PA0028	NC_002516.2	29896	30498	+	603	2	0	1	2	0	0
PA0029	NC_002516.2	30502	32055	-	1554	0	0	0	0	0	0
PA0030	NC_002516.2	32060	32983	-	924	0	0	0	0	0	0
PA0031	NC_002516.2	33000	34511	-	1512	0	0	0	2	0	4
PA0032	NC_002516.2	34624	35538	+	915	0	2	2	2	0	0
PA0032a	NC_002516.2	35549	35926	+	378	0	0	0	0	0	0
PA0033	NC_002516.2	35905	36270	-	366	0	0	0	0	0	0
PA0034	NC_002516.2	36278	36901	-	624	0	0	0	0	2	0
PA0035	NC_002516.2	37087	37893	-	807	0	0	0	0	0	0
PA0036	NC_002516.2	37890	39098	-	1209	10	12	2	16	12	20
PA0037	NC_002516.2	39202	40089	+	888	0	0	0	4	2	4
PA0038	NC_002516.2	40190	40405	+	216	4	1	2	3	3	5
PA0039	NC_002516.2	40589	40816	+	228	4	7	6	9	9	7
PA0040	NC_002516.2	41113	42801	+	1689	6	0	2	2	0	2
PA0041	NC_002516.2	42914	53521	+	10608	240	203	177	209	208	283
PA0041a	NC_002516.2	54121	54822	+	702	100	61	49	59	63	115
PA0042	NC_002516.2	56546	56941	+	396	0	0	0	0	0	0
PA0043	NC_002516.2	57212	58594	-	1383	0	0	0	0	0	6
PA0044	NC_002516.2	58786	60159	+	1374	2	6	4	2	0	5
PA0045	NC_002516.2	60656	61342	+	687	158	78	121	10	27	52
PA0046	NC_002516.2	61373	61726	+	354	5	7	8	3	0	2
PA0047	NC_002516.2	61879	62388	+	510	6	2	0	0	2	4
PA0048	NC_002516.2	62403	62786	-	384	0	0	0	0	2	0
PA0049	NC_002516.2	63068	64729	-	1662	0	0	0	0	0	0
PA0050	NC_002516.2	65339	65479	+	141	0	2	0	0	0	0
PA0051	NC_002516.2	66303	68135	+	1833	0	0	0	2	0	0
PA0052	NC_002516.2	68188	68616	-	429	0	0	0	0	0	2
PA0053	NC_002516.2	69056	69526	+	471	5	4	6	5	0	6
PA0054	NC_002516.2	69543	70091	-	549	0	1	0	0	0	0
PA0055	NC_002516.2	70130	70636	-	507	5	7	3	3	6	3
PA0056	NC_002516.2	70702	71622	-	921	0	0	2	0	2	0
PA0057	NC_002516.2	71730	72617	+	888	0	0	0	0	0	0
PA0058	NC_002516.2	72680	73384	+	705	0	0	0	0	0	0
PA0059	NC_002516.2	73468	73923	+	456	6	0	2	3	6	2
PA0060	NC_002516.2	74034	74267	+	234	24	6	7	13	4	6
PA0061	NC_002516.2	74279	74716	-	438	0	0	0	0	0	0
PA0062	NC_002516.2	74773	75189	-	417	0	0	0	0	0	0
PA0063	NC_002516.2	75281	76408	+	1128	2	0	0	0	0	0
PA0064	NC_002516.2	76416	77399	-	984	0	3	0	0	0	0
PA0065	NC_002516.2	77432	78097	-	666	0	0	0	0	0	0
PA0066	NC_002516.2	78090	78632	-	543	0	0	0	2	0	0
PA0067	NC_002516.2	78710	80755	+	2046	32	10	7	19	12	28
PA0068	NC_002516.2	80752	81027	+	276	3	0	2	0	2	4
PA0069	NC_002516.2	81116	82174	+	1059	0	0	0	0	0	2
PA0070	NC_002516.2	82404	83318	-	915	57	19	37	1	4	2
PA0071	NC_002516.2	83380	85092	-	1713	542	234	232	23	40	50
PA0072	NC_002516.2	85085	86284	-	1200	0	0	0	0	0	0
PA0073	NC_002516.2	86284	87003	-	720	0	0	0	0	0	0
PA0074	NC_002516.2	87000	90098	-	3099	4	4	2	2	4	4
PA0075	NC_002516.2	90106	90834	-	729	0	0	2	0	0	0
PA0076	NC_002516.2	90844	91524	-	681	0	0	0	0	0	0
PA0077	NC_002516.2	91521	94826	-	3306	48	20	34	10	6	20
PA0078	NC_002516.2	95048	96397	-	1350	2	0	4	0	0	0
PA0079	NC_002516.2	96404	97738	-	1335	2	0	2	0	0	0
PA0080	NC_002516.2	97754	98218	-	465	4	2	0	0	0	0
PA0081	NC_002516.2	98263	99756	-	1494	16	2	6	6	6	0
PA0082	NC_002516.2	100124	101158	+	1035	68	48	34	8	6	8
PA0083	NC_002516.2	101247	101765	+	519	92	48	50	3	4	6
PA0084	NC_002516.2	101778	103274	+	1497	118	88	89	8	12	26
PA0085	NC_002516.2	103350	103838	+	489	36	10	31	4	1	4
PA0086	NC_002516.2	104006	104851	+	846	2	0	2	0	0	0
PA0087	NC_002516.2	104853	105362	+	510	4	0	0	0	0	0
PA0088	NC_002516.2	105359	107218	+	1860	2	3	0	0	0	0
PA0089	NC_002516.2	107182	108228	+	1047	6	6	0	0	0	0
PA0090	NC_002516.2	108221	110929	+	2709	12	10	13	0	4	8
PA0091	NC_002516.2	110976	112907	+	1932	46	19	16	7	0	6
