# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "exon" "-M" "-g" "gene_id" "-a" "./genomic.gtf" "-o" "counts3.txt" "37D3_control3_sorted.bam" "37D2_control2_sorted.bam" "46D2_elevtemp2_sorted.bam" "46D3_elevtemp3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	37D3_control3_sorted.bam	37D2_control2_sorted.bam	46D2_elevtemp2_sorted.bam	46D3_elevtemp3_sorted.bam
PA0263.1	NC_002516.2	298816	298892	-	77	0	0	0	0
PA0527.1	NC_002516.2	586867	586990	+	124	54	88	107	232
PA0574.1	NC_002516.2	630434	630510	-	77	0	0	0	0
PA0668.1	NC_002516.2	722096	723631	+	1536	533249	728033	777571	1323745
PA0668.2	NC_002516.2	723696	723772	+	77	10	10	6	8
PA0668.3	NC_002516.2	723801	723876	+	76	8	4	18	15
PA0668.4	NC_002516.2	724103	726993	+	2891	1893258	2403319	2911809	4628932
PA0668.5	NC_002516.2	727136	727255	+	120	480	778	714	510
PA0714.1	NC_002516.2	785498	785570	+	73	0	0	1	0
PA0729.1	NC_002516.2	797721	797794	-	74	0	0	0	0
PA0826.2	NC_002516.2	901520	901872	-	353	32960	53464	39295	45823
PA0836.1	NC_002516.2	912791	912861	+	71	0	0	0	0
PA0887.1	NC_002516.2	971858	971972	+	115	0	0	0	2
PA0905.1	NC_002516.2	991260	991350	+	91	0	1	9	21
PA0905.2	NC_002516.2	991468	991544	+	77	1	4	8	12
PA0905.3	NC_002516.2	991656	991732	+	77	2	0	2	0
PA0922.1	NC_002516.2	1007727	1007803	-	77	2	2	0	1
PA0976.1	NC_002516.2	1060356	1060431	+	76	0	0	0	2
PA1013.1	NC_002516.2	1096867	1096956	+	90	0	0	0	1
PA1030.1	NC_002516.2	1117532	1117609	+	78	5	2	7	1
PA1112.1	NC_002516.2	1205031	1205330	-	300	0	4	6	2
PA1324.1	NC_002516.2	1436491	1436618	+	128	0	0	0	0
PA1530.1	NC_002516.2	1668840	1669799	+	960	0	0	0	2
PA1781.1	NC_002516.2	1928666	1928886	-	221	0	2	0	0
PA1796.1	NC_002516.2	1947320	1947396	+	77	4	3	5	13
PA1796.2	NC_002516.2	1947448	1947523	+	76	0	0	0	0
PA1796.3	NC_002516.2	1947578	1947662	+	85	0	0	0	0
PA1796.4	NC_002516.2	1947729	1947804	+	76	0	0	2	0
PA1804.1	NC_002516.2	1959083	1959159	+	77	5	2	17	5
PA2570.1	NC_002516.2	2905965	2906051	-	87	56	68	186	130
PA2581.1	NC_002516.2	2918603	2918676	-	74	0	2	0	0
PA2583.1	NC_002516.2	2923222	2923297	-	76	0	0	0	0
PA2603.1	NC_002516.2	2947583	2947672	-	90	0	0	0	0
PA2736.1	NC_002516.2	3099306	3099382	-	77	0	0	0	0
PA2744.1	NC_002516.2	3106919	3106994	-	76	0	0	0	3
PA2775.1	NC_002516.2	3133449	3133525	-	77	1	0	0	2
PA2819.1	NC_002516.2	3173599	3173674	-	76	5	4	2	2
PA2819.2	NC_002516.2	3173759	3173834	-	76	0	0	0	0
PA2819.3	NC_002516.2	3173837	3173912	-	76	0	0	0	1
PA2852.1	NC_002516.2	3206408	3206497	+	90	0	0	0	0
PA2942.1	NC_002516.2	3299022	3299269	+	248	0	0	0	2
PA2958.1	NC_002516.2	3318663	3318859	+	197	0	0	0	0
PA3031.1	NC_002516.2	3395190	3395266	+	77	0	0	0	0
PA3094.1	NC_002516.2	3475457	3475533	-	77	1	0	0	0
PA3094.2	NC_002516.2	3475648	3475724	-	77	0	0	3	0
PA3094.3	NC_002516.2	3475741	3475816	-	76	0	0	2	0
PA3133.1	NC_002516.2	3514723	3514798	-	76	0	0	0	0
PA3133.2	NC_002516.2	3514845	3514920	-	76	0	0	0	0
PA3133.3	NC_002516.2	3515014	3515089	-	76	0	0	0	0
PA3133.4	NC_002516.2	3515138	3515213	-	76	0	0	0	1
PA3139.1	NC_002516.2	3524012	3524087	+	76	0	4	4	3
PA3262.1	NC_002516.2	3650722	3650798	-	77	0	0	2	0
PA3262.2	NC_002516.2	3650815	3650890	-	76	0	0	2	0
PA3304.1	NC_002516.2	3703022	3703156	-	135	0	0	2	0
PA3305.1	NC_002516.2	3705309	3705521	-	213	50	72	38	64
PA3366.1	NC_002516.2	3778034	3778133	-	100	0	2	0	3
PA3368.1	NC_002516.2	3778654	3778730	-	77	0	0	0	0
PA3621.1	NC_002516.2	4057543	4057658	-	116	32	57	50	48
PA3824.1	NC_002516.2	4281665	4281751	+	87	0	0	0	0
PA4270.1	NC_002516.2	4780768	4780833	-	66	0	0	0	0
PA4272.1	NC_002516.2	4781786	4781978	+	193	1	0	2	0
PA4276.1	NC_002516.2	4784184	4784259	-	76	2	2	6	12
PA4277.1	NC_002516.2	4785593	4785668	-	76	1	3	0	0
PA4277.2	NC_002516.2	4785688	4785761	-	74	0	0	0	0
PA4277.3	NC_002516.2	4785788	4785872	-	85	0	2	0	3
PA4280.1	NC_002516.2	4788574	4788693	-	120	487	785	718	494
PA4280.2	NC_002516.2	4788836	4791724	-	2889	1811947	2308845	2827701	4565182
PA4280.3	NC_002516.2	4791951	4792026	-	76	8	4	16	15
PA4280.4	NC_002516.2	4792055	4792131	-	77	10	12	4	8
PA4280.5	NC_002516.2	4792196	4793731	-	1536	540609	739073	792552	1338822
PA4406.1	NC_002516.2	4939194	4939277	-	84	5	1	1	11
PA4421.1	NC_002516.2	4956328	4956536	+	209	0	0	0	0
PA4451.1	NC_002516.2	4985782	4985843	-	62	4	4	7	10
PA4524.1	NC_002516.2	5068932	5069007	-	76	280	269	24	22
PA4541.1	NC_002516.2	5086925	5087000	-	76	0	0	0	0
PA4541.2	NC_002516.2	5087011	5087087	-	77	0	0	0	0
PA4541.3	NC_002516.2	5087097	5087172	-	76	0	1	5	3
PA4581.1	NC_002516.2	5131082	5131155	+	74	1	0	1	2
PA4669.1	NC_002516.2	5238277	5238351	+	75	3	7	3	4
PA4673.1	NC_002516.2	5242026	5242102	+	77	0	4	0	0
PA4690.1	NC_002516.2	5264100	5264219	-	120	489	785	720	495
PA4690.2	NC_002516.2	5264362	5267252	-	2891	1923623	2436176	2961155	4657570
PA4690.3	NC_002516.2	5267479	5267554	-	76	8	4	16	15
PA4690.4	NC_002516.2	5267583	5267659	-	77	10	11	4	8
PA4690.5	NC_002516.2	5267724	5269259	-	1536	526460	720020	771424	1303787
PA4704.1	NC_002516.2	5283960	5284110	+	151	0	0	0	0
PA4704.2	NC_002516.2	5284172	5284319	+	148	0	0	0	0
PA4726.1	NC_002516.2	5308433	5308493	+	61	4	7	19	12
PA4726.11	NC_002516.2	5308587	5308993	+	407	7893	20010	9993	19373
PA4726.2	NC_002516.2	5308743	5308964	-	222	2	0	0	1
PA4746.1	NC_002516.2	5332087	5332163	-	77	2	5	5	7
PA4746.2	NC_002516.2	5332254	5332339	-	86	4	11	15	19
PA4758.1	NC_002516.2	5344950	5345060	-	111	0	0	0	4
PA4802.1	NC_002516.2	5387766	5387857	-	92	0	0	0	0
PA4937.1	NC_002516.2	5541614	5541700	+	87	7	6	3	14
PA4937.2	NC_002516.2	5541830	5541916	+	87	4	14	9	16
PA5149.1	NC_002516.2	5798560	5798635	+	76	0	0	0	0
PA5160.1	NC_002516.2	5809970	5810045	+	76	0	0	2	0
PA5181.1	NC_002516.2	5835082	5835480	-	399	0	0	0	2
PA5227.1	NC_002516.2	5884320	5884502	+	183	413	692	708	995
PA5316.1	NC_002516.2	5986120	5986170	+	51	0	0	2	0
PA5369.1	NC_002516.2	6039584	6039703	-	120	480	774	707	498
PA5369.2	NC_002516.2	6039846	6042736	-	2891	1907862	2421318	2938247	4634885
PA5369.3	NC_002516.2	6042963	6043038	-	76	8	4	16	15
PA5369.4	NC_002516.2	6043067	6043143	-	77	10	11	4	8
PA5369.5	NC_002516.2	6043208	6044743	-	1536	521110	710746	761493	1291934
